Name;NumberOfVars;NumberOfClauses;AvgMilliseconds;Timeout
factor4.cnf;204;777;4;FALSE
factor5.cnf;492;1908;11;FALSE
factor6.cnf;1062;4161;87.33333333333333;FALSE
factor7.cnf;2076;8184;941.6666666666666;FALSE
factor8.cnf;3232;12778;3474.6666666666665;FALSE
op08.cnf;56;372;0;FALSE
op09.cnf;72;549;0;FALSE
op10.cnf;90;775;0;FALSE
op11.cnf;110;1056;1;FALSE
op12.cnf;132;1398;6;FALSE
op13.cnf;156;1807;17.666666666666668;FALSE
op14.cnf;182;2289;63.333333333333336;FALSE
op15.cnf;210;2850;964.6666666666666;FALSE
op16.cnf;240;3496;2578.3333333333335;FALSE
op17.cnf;272;4233;20000;TRUE
parity09.cnf;36;261;0.6666666666666666;FALSE
parity11.cnf;55;506;32.333333333333336;FALSE
parity13.cnf;78;871;1697.3333333333333;FALSE
parity15.cnf;105;1380;20000;TRUE
php09.cnf;81;333;67.33333333333333;FALSE
php10.cnf;100;460;958.6666666666666;FALSE
php11.cnf;121;616;14774.5;TRUE
php12.cnf;144;804;20000;TRUE
php13.cnf;169;1027;20001;TRUE
php14.cnf;196;1288;20000;TRUE
php15.cnf;225;1590;20001;TRUE
sudoku-hard01.cnf;729;3266;142.66666666666666;FALSE
sudoku-hard02.cnf;729;3266;413.6666666666667;FALSE
sudoku-hard03.cnf;729;3264;2378;FALSE
sudoku-hard04.cnf;729;3265;3071;FALSE
sudoku-hard05.cnf;729;3267;102;FALSE
sudoku-hard06.cnf;729;3265;2668.6666666666665;FALSE
sudoku-hard07.cnf;729;3264;1212.6666666666667;FALSE
sudoku-hard08.cnf;729;3266;102.33333333333333;FALSE
sudoku-hard09.cnf;729;3267;1740.3333333333333;FALSE
sudoku-hard10.cnf;729;3267;354;FALSE
tseitin12.cnf;24;96;4.666666666666667;FALSE
tseitin13.cnf;26;104;4.666666666666667;FALSE
tseitin14.cnf;28;112;15.666666666666666;FALSE
tseitin15.cnf;30;120;23;FALSE
tseitin16.cnf;32;128;66.66666666666667;FALSE
tseitin17.cnf;34;136;71.66666666666667;FALSE
tseitin18.cnf;36;144;273;FALSE
tseitin19.cnf;38;152;114;FALSE
tseitin20.cnf;40;160;345.3333333333333;FALSE
tseitin21.cnf;42;168;49.333333333333336;FALSE
tseitin22.cnf;44;176;705.6666666666666;FALSE
