Name;NumberOfVars;NumberOfClauses;AvgMilliseconds;Timeout
factor4.cnf;204;777;8.333333333333334;FALSE
factor5.cnf;492;1908;13.333333333333334;FALSE
factor6.cnf;1062;4161;164;FALSE
factor7.cnf;2076;8184;2031;FALSE
factor8.cnf;3232;12778;20001;TRUE
op08.cnf;56;372;0;FALSE
op09.cnf;72;549;2.6666666666666665;FALSE
op10.cnf;90;775;24;FALSE
op11.cnf;110;1056;24.666666666666668;FALSE
op12.cnf;132;1398;12764;TRUE
parity09.cnf;36;261;1;FALSE
parity11.cnf;55;506;31.666666666666668;FALSE
parity13.cnf;78;871;1764;FALSE
parity15.cnf;105;1380;20000;TRUE
php09.cnf;81;333;0;FALSE
php10.cnf;100;460;0;FALSE
php11.cnf;121;616;16.333333333333332;FALSE
php12.cnf;144;804;1126.6666666666667;FALSE
php13.cnf;169;1027;143.33333333333334;FALSE
php14.cnf;196;1288;128.33333333333334;FALSE
php15.cnf;225;1590;12530.333333333334;FALSE
sudoku-hard01.cnf;729;3266;179.33333333333334;FALSE
sudoku-hard02.cnf;729;3266;314.6666666666667;FALSE
sudoku-hard03.cnf;729;3264;7856.333333333333;TRUE
sudoku-hard04.cnf;729;3265;363.3333333333333;FALSE
sudoku-hard05.cnf;729;3267;460.6666666666667;FALSE
sudoku-hard06.cnf;729;3265;11455.333333333334;TRUE
sudoku-hard07.cnf;729;3264;793;FALSE
sudoku-hard08.cnf;729;3266;809.6666666666666;FALSE
sudoku-hard09.cnf;729;3267;226.33333333333334;FALSE
sudoku-hard10.cnf;729;3267;326.6666666666667;FALSE
tseitin12.cnf;24;96;20;FALSE
tseitin13.cnf;26;104;4;FALSE
tseitin14.cnf;28;112;44.666666666666664;FALSE
tseitin15.cnf;30;120;489;FALSE
tseitin16.cnf;32;128;107.33333333333333;FALSE
tseitin17.cnf;34;136;4585.666666666667;FALSE
tseitin18.cnf;36;144;271;FALSE
tseitin19.cnf;38;152;334.6666666666667;FALSE
tseitin20.cnf;40;160;1020.6666666666666;FALSE
tseitin21.cnf;42;168;40;FALSE
tseitin22.cnf;44;176;20000;TRUE
