Name;NumberOfVars;NumberOfClauses;AvgMilliseconds;Timeout
factor4.cnf;204;777;3.6666666666666665;FALSE
factor5.cnf;492;1908;10.333333333333334;FALSE
factor6.cnf;1062;4161;91;FALSE
factor7.cnf;2076;8184;759.3333333333334;FALSE
factor8.cnf;3232;12778;2659.6666666666665;FALSE
op08.cnf;56;372;0;FALSE
op09.cnf;72;549;0;FALSE
op10.cnf;90;775;0;FALSE
op11.cnf;110;1056;1;FALSE
op12.cnf;132;1398;3.6666666666666665;FALSE
op13.cnf;156;1807;13;FALSE
op14.cnf;182;2289;45;FALSE
op15.cnf;210;2850;650.6666666666666;FALSE
op16.cnf;240;3496;1587.3333333333333;FALSE
op17.cnf;272;4233;10097;FALSE
parity09.cnf;36;261;0.3333333333333333;FALSE
parity11.cnf;55;506;23.666666666666668;FALSE
parity13.cnf;78;871;1162;FALSE
parity15.cnf;105;1380;20000;TRUE
php09.cnf;81;333;50;FALSE
php10.cnf;100;460;626.3333333333334;FALSE
php11.cnf;121;616;11108.666666666666;FALSE
php12.cnf;144;804;20000;TRUE
php13.cnf;169;1027;20001;TRUE
php14.cnf;196;1288;20000;TRUE
php15.cnf;225;1590;20000;TRUE
sudoku-hard01.cnf;729;3266;109.33333333333333;FALSE
sudoku-hard02.cnf;729;3266;281;FALSE
sudoku-hard03.cnf;729;3264;1286.3333333333333;FALSE
sudoku-hard04.cnf;729;3265;1605.6666666666667;FALSE
sudoku-hard05.cnf;729;3267;72.66666666666667;FALSE
sudoku-hard06.cnf;729;3265;1403.6666666666667;FALSE
sudoku-hard07.cnf;729;3264;714;FALSE
sudoku-hard08.cnf;729;3266;76;FALSE
sudoku-hard09.cnf;729;3267;975.3333333333334;FALSE
sudoku-hard10.cnf;729;3267;229.33333333333334;FALSE
tseitin12.cnf;24;96;2.6666666666666665;FALSE
tseitin13.cnf;26;104;3;FALSE
tseitin14.cnf;28;112;7.333333333333333;FALSE
tseitin15.cnf;30;120;18.333333333333332;FALSE
tseitin16.cnf;32;128;52;FALSE
tseitin17.cnf;34;136;54.666666666666664;FALSE
tseitin18.cnf;36;144;216;FALSE
tseitin19.cnf;38;152;88.66666666666667;FALSE
tseitin20.cnf;40;160;257.3333333333333;FALSE
tseitin21.cnf;42;168;34.333333333333336;FALSE
tseitin22.cnf;44;176;547;FALSE
